audio_id,category,human_label,asr_transcript,normalized_human,normalized_asr,wer,sub,del,ins,ref_word_count,status,error_message
RB_0030,general_utterance,طيب مافي فرع ثاني غير هذول الفرعين,طيب، ما في طرف ثاني غير هذول الفرعين.,طيب مافي فرع ثاني غير هذول الفرعين,طيب، ما في طرف ثاني غير هذول الفرعين,0.5714,3,0,1,7,success,
RB_0094,branch_code,121,921.,121,921,1.0000,1,0,0,1,success,
RB_0158,unclear,300 | مول أرامكو,319، مول أرامكو.,300 مول ارامكو,319، مول ارامكو,0.3333,1,0,0,3,success,
RB_0414,general_utterance,شارع | حراء | شارع حراء. حراء,حراء. شارع حراء. شارع حراء. حراء.,شارع حراء شارع حراء حراء,حراء شارع حراء شارع حراء حراء,0.2000,0,0,1,5,success,
RB_0350,general_utterance,الأرض | خاوية | الطاوية | الطاوية | الطاوية | الطاوية | الطاوية | الطاوية,الأرطاوية، الأرطاوية، الأرطاوية، الأرطاوية، الأرطاوية، العرعر، الأرطاوية.,الارض خاويه الطاويه الطاويه الطاويه الطاويه الطاويه الطاويه,الارطاوية، الارطاوية، الارطاوية، الارطاوية، الارطاوية، العرعر، الارطاوية,1.0000,7,1,0,8,success,
RB_0286,unclear,506. مدينة الملك فيصل العسكرية,506، مدينة الملك فيصل العسكرية.,506 مدينه الملك فيصل العسكريه,506، مدينه الملك فيصل العسكرية,0.4000,2,0,0,5,success,
RB_0222,branch_code,307. الفيصلية,347، الفيصلية.,307 الفيصليه,347، الفيصلية,1.0000,2,0,0,2,success,
RB_0095,branch_code,123,320.,123,320,1.0000,1,0,0,1,success,
RB_0031,general_utterance,مافهمتيني أنا قاعده أسألك ايش الفرع القريب مني,مرحبًا، فين؟ أنا قاعدة أسألك عن الفرع القريب مني.,مافهمتيني انا قاعده اسالك ايش الفرع القريب مني,مرحبا، فين؟ انا قاعده اسالك عن الفرع القريب مني,0.3750,2,0,1,8,success,
RB_0287,general_utterance,اسمي | وسبعة | النعمان | خمس مئة | وسبعة,507، النعمان. 507.,اسمي 7 النعمان 112,507، النعمان 507,0.7500,2,1,0,4,success,
RB_0351,general_utterance,الرسم | الرس | الرأس | فرع | الرس | الرس,الرس، الرس، الرس. الرس، الرس، الرس. الرس فرع الرس. الرس.,الرسم الرس الراس فرع الرس الرس,الرس، الرس، الرس الرس، الرس، الرس الرس فرع الرس الرس,1.0000,2,0,4,6,success,
RB_0223,unclear,338 | ألواح | الدمام,348، الواحد، دمام.,338 الواح الدمام,348، الواحد، دمام,1.0000,3,0,0,3,success,
RB_0159,general_utterance,ثلاثمائة | وتسعة عشر | قاعدة | الجبيل البحرية,319 قاعدة الجبيل البحرية.,319 قاعده الجبيل البحريه,319 قاعده الجبيل البحرية,0.2500,1,0,0,4,success,
RB_0478,general_utterance,سوق | برزان | الرئيسي | بريدة | الرئيسي | حفر | الباطن | حايل | المنطقة | الصناعية | بحائل | حائل | الجابرية | عنيزة | رياض | الخضراء | رياض | الخبراء,سوق برزان. بريد الرئيسي. بريد الرئيسي. حفر الباطن. حايل. المنطقة الصناعية بحائل. حائل. الجابرية. عنيزة. رياض الخبرة. رياض الخبرة.,سوق برزان الرئيسي بريده الرئيسي حفر الباطن حايل المنطقه الصناعيه بحائل حائل الجابريه عنيزه رياض الخضراء رياض الخبراء,سوق برزان بريد الرئيسي بريد الرئيسي حفر الباطن حايل المنطقه الصناعيه بحائل حائل الجابرية عنيزة رياض الخبرة رياض الخبرة,0.3333,5,0,1,18,success,
RB_0032,branch_name,قتلك فرع العليا,فرع العليا.,قتلك فرع العليا,فرع العليا,0.3333,0,1,0,3,success,
RB_0479,unclear,,أنا.,,انا,1.0000,0,0,1,0,success,
RB_0415,general_utterance,أرصفة | الرصيف | رصيف | الرصيفة,الرصيفة. الرصيفة. الرصيفة. الرصيفة.,ارصفه الرصيف رصيف الرصيفه,الرصيفة الرصيفة الرصيفة الرصيفة,1.0000,4,0,0,4,success,
RB_0096,branch_code,فرع 123,فرع 123.,فرع 123,فرع 123,0.0000,0,0,0,2,success,
RB_0160,general_utterance,320 | قاعدة | الجبيل البحرية,320، قاعدة الجبيل البحرية.,320 قاعده الجبيل البحريه,320، قاعده الجبيل البحرية,0.5000,2,0,0,4,success,
RB_0224,branch_name,الواحة. الدمام,148، الواحة، الدمام.,الواحة الدمام,148، الواحة، الدمام,1.0000,1,0,1,2,success,
RB_0001,branch_code,احد سبعة ستة,176.,176,176,0.0000,0,0,0,1,success,
RB_0288,general_utterance,ثمانية | نجران | وثمانية | خمسمئة وثمانية,8، نجران. 508. 508. صحيح.,8 نجران 516,8، نجران 508 508 صحيح,1.3333,2,0,2,3,success,
RB_0352,general_utterance,المجمعة | المجمعة | المجمعة | المجمعة | فرع المجمعة,المجمعة، المجمعة، المجمعة، المجمعة. فرع المجمعة.,المجمعه المجمعه المجمعه المجمعه فرع المجمعه,المجمعة، المجمعة، المجمعة، المجمعة فرع المجمعة,0.8333,5,0,0,6,success,
RB_0416,branch_name,الفلاح | الفلاح. الفلاح,الفلاح. الفلاح. الفلاح.,الفلاح الفلاح الفلاح,الفلاح الفلاح الفلاح,0.0000,0,0,0,3,success,
RB_0480,general_utterance,الزلفي | البكيرية | الخالدية | البحيرة | الريان,آه، الزلفي. الكارية. الخالدية. البحيرة. الريان.,الزلفي البكيريه الخالديه البحيره الريان,اه، الزلفي الكارية الخالدية البحيرة الريان,0.8000,3,0,1,5,success,
RB_0033,general_utterance,ابغا اتأكد من ساعات العمل الله يعافيك,أبغى أتأكد من ساعات العمل، الله يعافيك.,ابغا اتاكد من ساعات العمل الله يعافيك,ابغي اتاكد من ساعات العمل، الله يعافيك,0.2857,2,0,0,7,success,
RB_0097,branch_code,144,124.,144,124,1.0000,1,0,0,1,success,
RB_0161,general_utterance,تلتمية | واحد | وعشرين | طريق | الملك عبد | العزيز,321، طريق الملك عبدالعزيز.,تلتميه 21 طريق الملك عبد العزيز,321، طريق الملك عبدالعزيز,0.6667,2,2,0,6,success,
RB_0225,general_utterance,ثلاثمائة | وثمانية وأربعين. الواحة. الدمام,348، الواحد، دمام.,348 الواحة الدمام,348، الواحد، دمام,1.0000,3,0,0,3,success,
RB_0289,branch_code,خمسمية وثمانية نجران,508، نجران.,خمسميه 8 نجران,508، نجران,0.6667,1,1,0,3,success,
RB_0481,general_utterance,We are | told that | Now,خليها حفرة بلديه يستحقر. 加油。 黑哥要去黑哥要去黑哥要去伊拉克吗？ 100美金去不去？ 3个月拿了。,We are told that Now,خليها حفره بلديه يستحقر 加油 黑哥要去黑哥要去黑哥要去伊拉克吗 100美金去不去 3个月拿了,1.6000,5,0,3,5,success,
RB_0353,general_utterance,الدوادمي | الدوادمي | الدوادمي | الدوادمي,الدوادمي. الدوادمي. الدوادمي. الدوادمي. الدوادمي.,الدوادمي الدوادمي الدوادمي الدوادمي,الدوادمي الدوادمي الدوادمي الدوادمي الدوادمي,0.2500,0,0,1,4,success,
RB_0417,general_utterance,هي | شراء | . أي | شراء | أي | شراء | أي | . الشرائع | الشرائع,أيش؟ أيش شرائع؟ أيش شرائع؟ أيش شرائع؟ أيش شرائع؟ شرائع.,هي شراء اي شراء اي شراء اي الشرائع الشرائع,ايش؟ ايش شرائع؟ ايش شرائع؟ ايش شرائع؟ ايش شرائع؟ شرائع,1.1111,9,0,1,9,success,
RB_0034,branch_name,عربي,عَرَقي.,عربي,عرقي,1.0000,1,0,0,1,success,
RB_0002,general_utterance,ايه حوليني,الحنان.,ايه حوليني,الحنان,1.0000,1,1,0,2,success,
RB_0162,general_utterance,فرست | 121 | طريق | الملك | عبد العزيز,321، طريق الملك عبدالعزيز.,فرست 121 طريق الملك عبد العزيز,321، طريق الملك عبدالعزيز,0.6667,2,2,0,6,success,
RB_0098,branch_code,فرع 128,228.,فرع 128,228,1.0000,1,1,0,2,success,
RB_0226,branch_name,لا | الراكب,349، الراكب.,لا الراكب,349، الراكب,0.5000,1,0,0,2,success,
RB_0290,general_utterance,خمسمئة | وتسعة | ست في | العناية | سبت | العناية,509، سبت العلايا. سبت العلايا.,515 في العنايه سبت العنايه,509، سبت العلايا سبت العلايا,0.8000,4,0,0,5,success,
RB_0418,general_utterance,الشراء | شراء | أي شراء,الشرائع. حي الشرائع. حي الشرائع.,الشراء شراء اي شراء,الشرائع حي الشرائع حي الشرائع,1.2500,4,0,1,4,success,
RB_0354,general_utterance,الغاط | الغاط | الغاط | 613 الغاط,الغاط. الغاط. الغاط. الغاط. الغاط. 613، الغاط.,الغاط الغاط الغاط 613 الغاط,الغاط الغاط الغاط الغاط الغاط 613، الغاط,0.6000,1,0,2,5,success,
RB_0035,branch_name,عربي,العربي.,عربي,العربي,1.0000,1,0,0,1,success,
RB_0003,branch_code,رع 307,307.,رع 307,307,0.5000,0,1,0,2,success,
RB_0482,general_utterance,Hello | hello | hello | My | branch | code | is | Riada | Riada | My | brand | My | branch | name | is | the | man | The | man | My | French | name | is | Martin | Medina | The | man,"Hello, hello, hello. My branch code is Riyadh, Riyadh. My branch name is Dammam, Dammam. My branch name is مدينة، مدينة. Dammam, Jeddah, Jeddah. السلام عليكم، أستاذة نيشير.",Hello hello hello My branch code is Riada Riada My brand My branch name is the man The man My French name is Martin Medina The man,Hello hello hello My branch code is Riyadh Riyadh My branch name is Dammam Dammam My branch name is مدينة، مدينة Dammam Jeddah Jeddah السلام عليكم، استاذه نيشير,0.6667,9,4,5,27,success,
RB_0227,branch_code,399 الراكة,349، الراكة. تفضل.,399 الراكه,349، الراكة تفضل,1.5000,2,0,1,2,success,
RB_0099,branch_code,فرع 130,فرع 130.,فرع 130,فرع 130,0.0000,0,0,0,2,success,
RB_0163,general_utterance,تلتمية | واثنين | وعشرين | الكلوية,322 الجلوية.,تلتميه 22 الكلويه,322 الجلوية,1.0000,2,1,0,3,success,
RB_0291,general_utterance,الشعور | خمسمية وعشرة. شرورة,لا، شرورة. 510 شرورة.,الشعور خمسميه وعشرة شروره,لا، شرورة 510 شرورة,1.0000,4,0,0,4,success,
RB_0355,general_utterance,أثلج | . السلام | السلام | السلام | فرع | السلام | السلام,أسلان. أسلان. أسلان. فرع سلان. أسلان.,اثلج السلام السلام السلام فرع السلام السلام,اسلان اسلان اسلان فرع سلان اسلان,0.8571,5,1,0,7,success,
RB_0419,branch_name,البساتين | البساتين. البساتين,البساتين. البساتين. البساتين.,البساتين البساتين البساتين,البساتين البساتين البساتين,0.0000,0,0,0,3,success,
RB_0004,general_utterance,قلت لك بطاقتي ضاعت فأحتاج مساعدة,قلت لك بطاقتي ضاعت، فأحتاج مساعدة.,قلت لك بطاقتي ضاعت فاحتاج مساعده,قلت لك بطاقتي ضاعت، فاحتاج مساعدة,0.3333,2,0,0,6,success,
RB_0036,general_utterance,طيب بتحوليني على اي فرع,عبد الحليم العيسى.,طيب بتحوليني علي اي فرع,عبد الحليم العيسى,1.0000,3,2,0,5,success,
RB_0483,general_utterance,فرع | برايد | الرئيسي | برايد | الرئيسي | بريدة | الرئيسي | فرع بريدة الرئيسي,فرع بريدة الرئيسي. بريدة الرئيسي. بريدة الرئيسي. فرع بريدة الرئيسي.,فرع برايد الرئيسي برايد الرئيسي بريده الرئيسي فرع بريده الرئيسي,فرع بريده الرئيسي بريده الرئيسي بريده الرئيسي فرع بريده الرئيسي,0.2000,2,0,0,10,success,
RB_0100,branch_code,واحد أربعة سبعة,147.,147,147,0.0000,0,0,0,1,success,
RB_0164,general_utterance,ثلاثمئة | واثنين | . الكلوية,322 ألف لُوية.,302 الكلويه,322 الف لوية,1.5000,2,0,1,2,success,
RB_0292,unclear,فصلية | 511. الفيصلية,الفيصلية. 511 الفيصلية.,فصليه 511 الفيصليه,الفيصلية 511 الفيصلية,0.6667,2,0,0,3,success,
RB_0356,general_utterance,الباحة | الباحة | الباحة. الباحة,ها. الباحة. الباحة. الباحة. الباحة.,الباحه الباحه الباحة الباحه,ها الباحة الباحة الباحة الباحة,1.0000,3,0,1,4,success,
RB_0228,general_utterance,الريان | 150 | ثلاثمئة وخمسين,150 الريان. 350. 350.,الريان 150 350,150 الريان 350 350,0.6667,1,0,1,3,success,
RB_0420,general_utterance,مركز | مبيعات جدة. مركز مبيعات جدة,جدة. مركز مبيعات جدة. مركز مبيعات جدة.,مركز مبيعات جدة مركز مبيعات جده,جدة مركز مبيعات جدة مركز مبيعات جدة,0.3333,1,0,1,6,success,
RB_0037,general_utterance,ايش الفروع,إيش الفرع؟,ايش الفروع,ايش الفرع؟,0.5000,1,0,0,2,success,
RB_0101,branch_code,فرع 147,147.,فرع 147,147,0.5000,0,1,0,2,success,
RB_0165,general_utterance,ثلاثمائة | وثلاثة | وعشرون | الجبيل الصناعية,323، الجبيل الصناعية.,323 الجبيل الصناعيه,323، الجبيل الصناعية,0.6667,2,0,0,3,success,
RB_0229,branch_code,350. الريان,1150، الريان.,350 الريان,1150، الريان,0.5000,1,0,0,2,success,
RB_0484,branch_name,بريدها الرئيسي,بريده الرئيسي.,بريدها الرئيسي,بريده الرئيسي,0.5000,1,0,0,2,success,
RB_0005,branch_name,الفرع الرئيسي,الفرع الرئيسي.,الفرع الرئيسي,الفرع الرئيسي,0.0000,0,0,0,2,success,
RB_0357,general_utterance,حب في | العناية | . ثبت | علميا | سبت | العلاج | سبت. العليا,سبت العلايا. سبت العلايا. سبت العلايا. سبت العلايا.,حب في العنايه ثبت علميا سبت العلاج سبت العليا,سبت العلايا سبت العلايا سبت العلايا سبت العلايا,0.7778,6,1,0,9,success,
RB_0293,unclear,تعش | صبيا | 513,16 صبيا. 513.,تعش صبيا 513,16 صبيا 513,0.3333,1,0,0,3,success,
RB_0421,general_utterance,الرياضة | الرئيسي | الرياضة | الرئيسي | الرياض الرئيسي,الرياض الرئيسي. الرياض الرئيسي. الرياض الرئيسي.,الرياضه الرئيسي الرياضه الرئيسي الرياض الرئيسي,الرياض الرئيسي الرياض الرئيسي الرياض الرئيسي,0.3333,2,0,0,6,success,
RB_0485,branch_name,بريدة الرئيسي,بريده الرئيسي.,بريده الرئيسي,بريده الرئيسي,0.0000,0,0,0,2,success,
RB_0038,general_utterance,فرع الرياض,فرع الرياض.,فرع الرياض,فرع الرياض,0.0000,0,0,0,2,success,
RB_0006,general_utterance,ما يهمني حوليني على أي فرع,آه، ما يهمني، حوليني على أي فرع.,ما يهمني حوليني علي اي فرع,اه، ما يهمني، حوليني علي اي فرع,0.3333,1,0,1,6,success,
RB_0102,branch_code,149,149.,149,149,0.0000,0,0,0,1,success,
RB_0358,branch_code,ثلاثمائة وواحد,301.,301,301,0.0000,0,0,0,1,success,
RB_0230,general_utterance,رسميا | المزروعي | ثلاثمائة | وواحد | وخمسين | المزروعي,351 المزروعية. 351 المزروعية.,رسميا المزروعي 351 المزروعي,351 المزروعية 351 المزروعية,0.7500,3,0,0,4,success,
RB_0166,general_utterance,رسمية | و24 | العيون,324 العيون.,رسميه و24 العيون,324 العيون,0.6667,1,1,0,3,success,
RB_0294,general_utterance,داعش | أرباحا | 514. البارحة,14 الباحة. 514 الباحة.,داعش ارباحا 514 البارحه,14 الباحة 514 الباحة,0.7500,3,0,0,4,success,
RB_0422,general_utterance,المدارس | الملز | الملف | الملاذ | الملف,الملز. الملز. الملز. الملز. الملز.,المدارس الملز الملف الملاذ الملف,الملز الملز الملز الملز الملز,0.8000,4,0,0,5,success,
RB_0007,general_utterance,ايه حوليني,إحمداني.,ايه حوليني,احمداني,1.0000,1,1,0,2,success,
RB_0486,unclear,,أهلًا.,,اهلا,1.0000,0,0,1,0,success,
RB_0039,general_utterance,اي حوليني,الحولاني.,اي حوليني,الحولاني,1.0000,1,1,0,2,success,
RB_0167,general_utterance,السنية | أسد | تاروت,326. تاروت.,السنيه اسد تاروت,326 تاروت,0.6667,1,1,0,3,success,
RB_0103,branch_code,مية وتسعة واربعين,149.,149,149,0.0000,0,0,0,1,success,
RB_0231,branch_code,352,352.,352,352,0.0000,0,0,0,1,success,
RB_0295,unclear,115 | بلجرشي | 515,515، بلجرشي. 515.,115 بلجرشي 515,515، بلجرشي 515,0.3333,1,0,0,3,success,
RB_0423,general_utterance,المتحف | البطحاء | الذبحة | المضحك | المضحك | المضحك,البطحه. البطحه. البطحه. البطحه. البطحه. البطحه.,المتحف البطحاء الذبحه المضحك المضحك المضحك,البطحه البطحه البطحه البطحه البطحه البطحه,1.0000,6,0,0,6,success,
RB_0359,general_utterance,جد | الرئيس | . جد | الرئيس | جدها | الرئيس | جد | الرئيس | جدها الرئيس,جدة الرئيسي، جدة الرئيسي، جدة الرئيسي. جدة الرئيسي، جدة الرئيسي.,جد الرئيس جد الرئيس جدها الرئيس جد الرئيس جدها الرئيس,جده الرئيسي، جده الرئيسي، جده الرئيسي جده الرئيسي، جده الرئيسي,1.0000,10,0,0,10,success,
RB_0487,general_utterance,بريدة الرئيسي | الطاوية | الدرس | . المجمعة | المجمعة | الدوادمي | الغاط | السليل | الباحة | سبت | العليا | جدة الرئيسي. الشرفية. الكندرة,أمم... بريد الرئيسي: الأرطاوية، الرس، المجم- المجمعة، الدوادمي، الغاب، السليل، الباحة، ثبت العلاية، جدة الرئيسي، الشرفية، الكندرة.,بريده الرئيسي الطاويه الدرس المجمعه المجمعه الدوادمي الغاط السليل الباحه سبت العليا جده الرئيسي الشرفية الكندره,امم بريد الرئيسي الارطاوية، الرس، المجم المجمعة، الدوادمي، الغاب، السليل، الباحة، ثبت العلاية، جده الرئيسي، الشرفية، الكندرة,0.9375,14,0,1,16,success,
RB_0008,branch_name,فرع جدة الرئيسي,فرع الشريفة.,فرع جده الرئيسي,فرع الشريفة,0.6667,1,1,0,3,success,
RB_0168,general_utterance,ثلاث | مئة | وستة | وعشرين | تاروت,326 كاروت.,129 تاروت,326 كاروت,1.0000,2,0,0,2,success,
RB_0040,branch_code,ثلاثمائة وثلاثة,303.,303,303,0.0000,0,0,0,1,success,
RB_0104,branch_code,فرع 150,850.,فرع 150,850,1.0000,1,1,0,2,success,
RB_0296,branch_code,515. بلجرشي,515 بلجرشي.,515 بلجرشي,515 بلجرشي,0.0000,0,0,0,2,success,
RB_0232,branch_name,أمسينا | منعزلة,50، أنا نازلة.,امسينا منعزله,50، انا نازلة,1.5000,2,0,1,2,success,
RB_0360,general_utterance,الشفيع | الشرفية | الشرفية | الشرفية | الشرفية,الشرفية. الشرفية. الشرفية. الشرفية. الشرفية.,الشفيع الشرفيه الشرفيه الشرفيه الشرفيه,الشرفية الشرفية الشرفية الشرفية الشرفية,1.0000,5,0,0,5,success,
RB_0424,general_utterance,المنطقة | الصناعية | المنطقة | الصناعية,المنطقة الصناعية. المنطقة الصناعية. تمام.,المنطقه الصناعيه المنطقه الصناعيه,المنطقه الصناعية المنطقه الصناعية تمام,0.7500,2,0,1,4,success,
RB_0488,general_utterance,كلامك | الرئيسي | . صفحة | الكزاز | واحد | قباء | حي | المحجر | ألمع | المعابد | رابغ | الحبيبية | تربة | الحوية,مكّا الرئيسي، طرحة القزاز، أحد، غبا، حي المحجر، المعابده، رابغ، العتيبيه، تربه، الحويه.,كلامك الرئيسي صفحه الكزاز 1 قباء حي المحجر المع المعابد رابغ الحبيبيه تربه الحويه,مكا الرئيسي، طرحه القزاز، احد، غبا، حي المحجر، المعابده، رابغ، العتيبيه، تربه، الحويه,0.8571,11,1,0,14,success,
RB_0009,general_utterance,ممكن تحوليني على قسم المبيعات,ممكن تحوليني على قسم المبيعات؟,ممكن تحوليني علي قسم المبيعات,ممكن تحوليني علي قسم المبيعات؟,0.2000,1,0,0,5,success,
RB_0041,branch_code,فرع 303,فرع 310.,فرع 303,فرع 310,0.5000,1,0,0,2,success,
RB_0105,branch_code,فرع مية واثنين وخمسين,فرع 152.,فرع 152,فرع 152,0.0000,0,0,0,2,success,
RB_0169,branch_code,360 | تاروت,326 تاروت.,360 تاروت,326 تاروت,0.5000,1,0,0,2,success,
RB_0233,general_utterance,المنازلة | المنازلة | مائة | واثنين | وخمسين | ثلاث مئة | واثنين | وخمسين | المنازلة,352 المنازلة. 352 المنازلة. 352. 352 المنازلة.,المنازله المنازله 307 المنازله,352 المنازلة 352 المنازلة 352 352 المنازلة,1.7500,4,0,3,4,success,
RB_0297,general_utterance,316 وادي | الدواسر | 516 | 516. وادي الدواسر,516 وادي الدواسر. 516. 516 وادي الدواسر.,316 وادي الدواسر 516 516 وادي الدواسر,516 وادي الدواسر 516 516 وادي الدواسر,0.1429,1,0,0,7,success,
RB_0425,general_utterance,الفرد | . الخرج | الخرج. الخرج,الخرج. الخرج. الخرج. الخرج.,الفرد الخرج الخرج الخرج,الخرج الخرج الخرج الخرج,0.2500,1,0,0,4,success,
RB_0361,general_utterance,ألكسندر | كالدر | الكندرة | الكندرة,الكندرة. الكندرة. الكندرة. الكندرة.,الكسندر كالدر الكندره الكندره,الكندرة الكندرة الكندرة الكندرة,1.0000,4,0,0,4,success,
RB_0042,branch_code,مئة وأربعة,آه، 104.,104,اه، 104,1.0000,0,0,1,1,success,
RB_0489,general_utterance,مكة. الرئيسي. طرحة القزاز. أحد,مكة الرئيسي، برحة القزاز، أحد.,مكة الرئيسي طرحه القزاز 1,مكه الرئيسي، برحه القزاز، 1,0.8000,4,0,0,5,success,
RB_0010,general_utterance,أنا أسأل اذا عندكم خدمة مبيعات,أنا أسأل إذا عندكم خدمة مبيعات.,انا اسال اذا عندكم خدمه مبيعات,انا اسال اذا عندكم خدمه مبيعات,0.0000,0,0,0,6,success,
RB_0106,branch_code,163,آه، 163.,163,اه، 163,1.0000,0,0,1,1,success,
RB_0170,general_utterance,فلا | اسمية | ابن | خلدون,327 ابن خلدون.,فلا اسميه ابن خلدون,327 ابن خلدون,0.5000,1,1,0,4,success,
RB_0234,general_utterance,شرفني | المنازلة | ثلاثمائة واثنين وخمسين,352 المنازلة. 352. 352.,شرفني المنازله 352,352 المنازلة 352 352,1.0000,2,0,1,3,success,
RB_0298,unclear,وادي | الدواسر 516,وادي الدواسر. 516.,وادي الدواسر 516,وادي الدواسر 516,0.0000,0,0,0,3,success,
RB_0490,branch_name,المعبدة,المحاسبة.,المعبده,المحاسبة,1.0000,1,0,0,1,success,
RB_0426,general_utterance,شكرا | شكرا | شكرا شكرا,شكراً.,شكرا شكرا شكرا شكرا,شكرا,0.7500,0,3,0,4,success,
